condition,fold,length,id,N_20nt,N_30nt,Time
wt_15mM_salt,1,30,12,1,0,5400.0
wt_15mM_salt,1,30,12,1,0,7200.0
wt_15mM_salt,1,30,13,0,0,1800.0
wt_15mM_salt,1,30,13,0,0,3600.0
wt_15mM_salt,1,30,13,0,0,5400.0
wt_15mM_salt,1,30,13,0,0,7200.0
wt_15mM_salt,1,30,14,0,0,1800.0
wt_15mM_salt,1,30,14,1,0,3600.0
wt_15mM_salt,1,30,14,1,0,5400.0
wt_15mM_salt,1,30,14,1,0,7200.0
wt_15mM_salt,1,30,15,0,0,1800.0
wt_15mM_salt,1,30,15,0,0,3600.0
wt_15mM_salt,1,30,15,0,0,5400.0
wt_15mM_salt,1,30,15,0,0,7200.0
wt_15mM_salt,1,30,16,1,0,1800.0
wt_15mM_salt,1,30,16,1,0,3600.0
wt_15mM_salt,1,30,16,1,0,5400.0
wt_15mM_salt,1,30,16,1,0,7200.0
wt_15mM_salt,1,30,17,0,0,1800.0
wt_15mM_salt,1,30,17,0,0,3600.0
wt_15mM_salt,1,30,17,0,0,5400.0
wt_15mM_salt,1,30,17,0,0,7200.0
wt_15mM_salt,1,30,18,0,0,1800.0
wt_15mM_salt,1,30,18,0,0,3600.0
wt_15mM_salt,1,30,18,0,0,5400.0
wt_15mM_salt,1,30,18,0,0,7200.0
wt_15mM_salt,1,30,19,0,0,1800.0
wt_15mM_salt,1,30,19,0,0,3600.0
wt_15mM_salt,1,30,19,0,0,5400.0
wt_15mM_salt,1,30,19,0,0,7200.0
wt_15mM_salt,1,30,20,0,0,1800.0
wt_15mM_salt,1,30,20,0,0,3600.0
wt_15mM_salt,1,30,20,0,0,5400.0
wt_15mM_salt,1,30,20,0,0,7200.0
wt_15mM_salt,1,30,21,1,0,1800.0
wt_15mM_salt,1,30,21,1,0,3600.0
wt_15mM_salt,1,30,21,1,0,5400.0
wt_15mM_salt,1,30,21,1,0,7200.0
wt_15mM_salt,1,30,22,0,0,1800.0
wt_15mM_salt,1,30,22,0,0,3600.0
wt_15mM_salt,1,30,22,1,0,5400.0
wt_15mM_salt,1,30,22,1,0,7200.0
wt_15mM_salt,1,30,23,0,0,1800.0
wt_15mM_salt,1,30,23,0,0,3600.0
wt_15mM_salt,1,30,23,0,0,5400.0
wt_15mM_salt,1,30,23,0,0,7200.0
wt_15mM_salt,1,30,24,1,0,1800.0
wt_15mM_salt,1,30,24,1,0,3600.0
wt_15mM_salt,1,30,24,1,0,5400.0
wt_15mM_salt,1,30,24,1,0,7200.0
wt_15mM_salt,1,30,25,0,0,1800.0
wt_15mM_salt,1,30,25,1,0,3600.0
wt_15mM_salt,1,30,25,1,0,5400.0
wt_15mM_salt,1,30,25,1,0,7200.0
wt_15mM_salt,1,30,26,0,0,1800.0
wt_15mM_salt,1,30,26,0,0,3600.0
wt_15mM_salt,1,30,26,0,0,5400.0
wt_15mM_salt,1,30,26,0,0,7200.0
wt_15mM_salt,1,30,27,0,0,1800.0
wt_15mM_salt,1,30,27,0,0,3600.0
wt_15mM_salt,1,30,27,0,0,5400.0
wt_15mM_salt,1,30,27,0,0,7200.0
wt_15mM_salt,1,30,28,0,0,1800.0
wt_15mM_salt,1,30,28,0,0,3600.0
wt_15mM_salt,1,30,28,0,0,5400.0
wt_15mM_salt,1,30,28,0,0,7200.0
wt_15mM_salt,1,30,29,0,0,1800.0
wt_15mM_salt,1,30,29,1,0,3600.0
wt_15mM_salt,1,30,29,1,0,5400.0
wt_15mM_salt,1,30,29,1,0,7200.0
wt_15mM_salt,1,30,30,0,0,1800.0
wt_15mM_salt,1,30,30,0,0,3600.0
wt_15mM_salt,1,30,30,0,0,5400.0
wt_15mM_salt,1,30,30,0,0,7200.0
wt_15mM_salt,1,30,31,0,0,1800.0
wt_15mM_salt,1,30,31,0,0,3600.0
wt_15mM_salt,1,30,31,0,0,5400.0
wt_15mM_salt,1,30,31,0,0,7200.0
wt_15mM_salt,1,30,32,1,0,1800.0
wt_15mM_salt,1,30,32,1,0,3600.0
wt_15mM_salt,1,30,32,1,0,5400.0
wt_15mM_salt,1,30,32,1,0,7200.0
wt_15mM_salt,1,30,33,0,0,1800.0
wt_15mM_salt,1,30,33,0,0,3600.0
wt_15mM_salt,1,30,33,0,0,5400.0
wt_15mM_salt,1,30,33,0,0,7200.0
wt_15mM_salt,1,30,34,0,0,1800.0
wt_15mM_salt,1,30,34,0,0,3600.0
wt_15mM_salt,1,30,34,0,0,5400.0
wt_15mM_salt,1,30,34,1,0,7200.0
wt_15mM_salt,1,30,35,0,0,1800.0
wt_15mM_salt,1,30,35,1,0,3600.0
wt_15mM_salt,1,30,35,1,0,5400.0
