time,fold,D1,size,id
2401,10,1000.0,1,19
2401,10,1000.0,31,19
2401,10,1000.0,4,19
2401,10,1000.0,14,19
2401,10,1000.0,27,19
2401,10,1000.0,15,19
2401,10,1000.0,17,19
2401,10,1000.0,25,19
2401,10,1000.0,10,19
1801,10,1000.0,59,20
1801,10,1000.0,38,20
1801,10,1000.0,41,20
1801,10,1000.0,26,20
1801,10,1000.0,107,20
1801,10,1000.0,51,20
1801,10,1000.0,8,20
1861,10,1000.0,54,20
1861,10,1000.0,51,20
1861,10,1000.0,40,20
1861,10,1000.0,45,20
1861,10,1000.0,42,20
1861,10,1000.0,17,20
1861,10,1000.0,71,20
1921,10,1000.0,24,20
1921,10,1000.0,3,20
1921,10,1000.0,72,20
1921,10,1000.0,12,20
1921,10,1000.0,42,20
1921,10,1000.0,12,20
1921,10,1000.0,35,20
1921,10,1000.0,20,20
1921,10,1000.0,40,20
2401,10,1000.0,29,20
2401,10,1000.0,16,20
2401,10,1000.0,12,20
2401,10,1000.0,12,20
2401,10,1000.0,4,20
2401,10,1000.0,11,20
2401,10,1000.0,7,20
2401,10,1000.0,19,20
2401,10,1000.0,2,20
2401,10,1000.0,29,20
2401,10,1000.0,27,20
2401,10,1000.0,2,20
1801,25,1000.0,85,21
1801,25,1000.0,78,21
1801,25,1000.0,38,21
1801,25,1000.0,8,21
1801,25,1000.0,4,21
1801,25,1000.0,32,21
1801,25,1000.0,5,21
1801,25,1000.0,40,21
1861,25,1000.0,39,21
1861,25,1000.0,63,21
1861,25,1000.0,23,21
1861,25,1000.0,5,21
1861,25,1000.0,20,21
1861,25,1000.0,16,21
1861,25,1000.0,124,21
1921,25,1000.0,24,21
1921,25,1000.0,6,21
1921,25,1000.0,68,21
1921,25,1000.0,3,21
1921,25,1000.0,32,21
1921,25,1000.0,15,21
1921,25,1000.0,137,21
1921,25,1000.0,15,21
2401,25,1000.0,13,21
2401,25,1000.0,16,21
2401,25,1000.0,7,21
2401,25,1000.0,6,21
2401,25,1000.0,10,21
2401,25,1000.0,3,21
2401,25,1000.0,6,21
2401,25,1000.0,15,21
2401,25,1000.0,4,21
2401,25,1000.0,1,21
2401,25,1000.0,5,21
2401,25,1000.0,4,21
2401,25,1000.0,10,21
1801,25,1000.0,2,22
1801,25,1000.0,6,22
1801,25,1000.0,46,22
1801,25,1000.0,53,22
1801,25,1000.0,156,22
1801,25,1000.0,87,22
1861,25,1000.0,43,22
1861,25,1000.0,141,22
1861,25,1000.0,20,22
1861,25,1000.0,1,22
1861,25,1000.0,24,22
1861,25,1000.0,37,22
1861,25,1000.0,54,22
1921,25,1000.0,5,22
1921,25,1000.0,31,22
1921,25,1000.0,76,22
1921,25,1000.0,63,22
1921,25,1000.0,16,22
1921,25,1000.0,22,22
1921,25,1000.0,14,22
1921,25,1000.0,63,22
2401,25,1000.0,3,22
2401,25,1000.0,1,22
2401,25,1000.0,1,22
2401,25,1000.0,14,22
2401,25,1000.0,1,22
2401,25,1000.0,18,22
2401,25,1000.0,8,22
2401,25,1000.0,1,22
2401,25,1000.0,2,22
2401,25,1000.0,2,22
2401,25,1000.0,11,22
2401,25,1000.0,3,22
2401,25,1000.0,2,22
2401,25,1000.0,12,22
2401,25,1000.0,1,22
2401,25,1000.0,47,22
1801,25,1000.0,33,23
1801,25,1000.0,5,23
1801,25,1000.0,201,23
1801,25,1000.0,31,23
1801,25,1000.0,3,23
1801,25,1000.0,13,23
1801,25,1000.0,34,23
1861,25,1000.0,82,23
1861,25,1000.0,13,23
1861,25,1000.0,46,23
1861,25,1000.0,10,23
1861,25,1000.0,7,23
1861,25,1000.0,64,23
1861,25,1000.0,5,23
1861,25,1000.0,73,23
1921,25,1000.0,5,23
1921,25,1000.0,33,23
1921,25,1000.0,56,23
1921,25,1000.0,21,23
1921,25,1000.0,47,23
1921,25,1000.0,19,23
1921,25,1000.0,10,23
1921,25,1000.0,60,23
1921,25,1000.0,19,23
2401,25,1000.0,9,23
2401,25,1000.0,21,23
2401,25,1000.0,3,23
2401,25,1000.0,3,23
2401,25,1000.0,13,23
2401,25,1000.0,20,23
2401,25,1000.0,23,23
2401,25,1000.0,26,23
2401,25,1000.0,4,23
2401,25,1000.0,1,23
2401,25,1000.0,7,23
2401,25,1000.0,40,23
1801,25,1000.0,76,24
1801,25,1000.0,67,24
1801,25,1000.0,26,24
1801,25,1000.0,179,24
1801,25,1000.0,2,24
1861,25,1000.0,11,24
1861,25,1000.0,8,24
1861,25,1000.0,48,24
1861,25,1000.0,46,24
1861,25,1000.0,12,24
1861,25,1000.0,66,24
1861,25,1000.0,8,24
1861,25,1000.0,61,24
1921,25,1000.0,10,24
1921,25,1000.0,30,24
1921,25,1000.0,5,24
1921,25,1000.0,6,24
1921,25,1000.0,41,24
1921,25,1000.0,4,24
1921,25,1000.0,5,24
1921,25,1000.0,40,24
1921,25,1000.0,13,24
1921,25,1000.0,12,24
1921,25,1000.0,16,24
1921,25,1000.0,12,24
1921,25,1000.0,6,24
2401,25,1000.0,13,24
2401,25,1000.0,29,24
2401,25,1000.0,18,24
2401,25,1000.0,3,24
2401,25,1000.0,16,24
2401,25,1000.0,2,24
2401,25,1000.0,11,24
2401,25,1000.0,16,24
2401,25,1000.0,15,24
2401,25,1000.0,26,24
1801,25,1000.0,15,25
1801,25,1000.0,48,25
1801,25,1000.0,197,25
1801,25,1000.0,35,25
1801,25,1000.0,48,25
1801,25,1000.0,7,25
1861,25,1000.0,37,25
1861,25,1000.0,78,25
1861,25,1000.0,79,25
1861,25,1000.0,17,25
1861,25,1000.0,23,25
1861,25,1000.0,84,25
1861,25,1000.0,2,25
1921,25,1000.0,81,25
1921,25,1000.0,14,25
1921,25,1000.0,27,25
1921,25,1000.0,88,25
1921,25,1000.0,6,25
1921,25,1000.0,5,25
1921,25,1000.0,64,25
1921,25,1000.0,25,25
2401,25,1000.0,2,25
2401,25,1000.0,4,25
2401,25,1000.0,1,25
2401,25,1000.0,8,25
2401,25,1000.0,4,25
2401,25,1000.0,8,25
2401,25,1000.0,3,25
2401,25,1000.0,23,25
2401,25,1000.0,3,25
2401,25,1000.0,9,25
2401,25,1000.0,31,25
2401,25,1000.0,13,25
2401,25,1000.0,11,25
1801,50,1000.0,62,26
1801,50,1000.0,31,26
1801,50,1000.0,31,26
1801,50,1000.0,6,26
1801,50,1000.0,33,26
1801,50,1000.0,20,26
1801,50,1000.0,6,26
1801,50,1000.0,101,26
1861,50,1000.0,4,26
1861,50,1000.0,25,26
1861,50,1000.0,19,26
1861,50,1000.0,10,26
1861,50,1000.0,25,26
1861,50,1000.0,11,26
1861,50,1000.0,44,26
1861,50,1000.0,5,26
1861,50,1000.0,17,26
1861,50,1000.0,30,26
1921,50,1000.0,4,26
1921,50,1000.0,7,26
1921,50,1000.0,31,26
1921,50,1000.0,13,26
1921,50,1000.0,6,26
1921,50,1000.0,1,26
1921,50,1000.0,2,26
1921,50,1000.0,3,26
1921,50,1000.0,7,26
1921,50,1000.0,14,26
1921,50,1000.0,6,26
1921,50,1000.0,11,26
1921,50,1000.0,15,26
2401,50,1000.0,8,26
2401,50,1000.0,2,26
2401,50,1000.0,2,26
2401,50,1000.0,10,26
2401,50,1000.0,17,26
2401,50,1000.0,14,26
2401,50,1000.0,32,26
2401,50,1000.0,1,26
2401,50,1000.0,1,26
2401,50,1000.0,1,26
2401,50,1000.0,14,26
2401,50,1000.0,1,26
2401,50,1000.0,1,26
2401,50,1000.0,14,26
2401,50,1000.0,2,26
1801,50,1000.0,12,27
1801,50,1000.0,174,27
1801,50,1000.0,20,27
1801,50,1000.0,179,27
1801,50,1000.0,5,27
1861,50,1000.0,2,27
1861,50,1000.0,6,27
1861,50,1000.0,37,27
1861,50,1000.0,1,27
1861,50,1000.0,1,27
1861,50,1000.0,1,27
1861,50,1000.0,22,27
1861,50,1000.0,30,27
1861,50,1000.0,20,27
1861,50,1000.0,55,27
1861,50,1000.0,5,27
1921,50,1000.0,34,27
1921,50,1000.0,7,27
1921,50,1000.0,2,27
1921,50,1000.0,4,27
1921,50,1000.0,2,27
1921,50,1000.0,6,27
1921,50,1000.0,24,27
1921,50,1000.0,6,27
1921,50,1000.0,9,27
1921,50,1000.0,11,27
1921,50,1000.0,29,27
1921,50,1000.0,14,27
1921,50,1000.0,17,27
1921,50,1000.0,5,27
2401,50,1000.0,3,27
2401,50,1000.0,6,27
2401,50,1000.0,1,27
2401,50,1000.0,2,27
2401,50,1000.0,5,27
2401,50,1000.0,7,27
2401,50,1000.0,2,27
2401,50,1000.0,3,27
2401,50,1000.0,7,27
2401,50,1000.0,3,27
2401,50,1000.0,15,27
2401,50,1000.0,4,27
